,name,number,arcana,suit,img,fortune_telling,keywords,Archetype,Hebrew Alphabet,Numerology,Elemental,Mythical/Spiritual,Questions to Ask,meanings.light,meanings.shadow,Astrology,Affirmation
0,The Fool,0,Major Arcana,Trump,m00.jpg,"['Watch for new projects and new beginnings', 'Prepare to take something on faith', 'Something new comes your way; go for it']","['freedom', 'faith', 'inexperience', 'innocence']",The Divine Madman,Aleph/Ox/1,0 (off the scale; pure potential),Air,Adam before the fall. Christ as a wandering holy madman. Deity wrapped in human flesh. The Holy Spirit.,"['What would I do if I felt free to take a leap?', 'How willing am I to be vulnerable and open?', 'How might past experiences help in this new situation?']","['Freeing yourself from limitation', 'Expressing joy and youthful vigor', 'Being open-minded', 'Taking a leap of faith', 'Attuning yourself to your instincts', 'Being eager or curious', 'Exploring your potential', 'Embracing innovation and change']","['Being gullible and naive', 'Taking unnecessary risks', 'Failing to be serious when required', 'Being silly or distracted', 'Lacking experience', 'Failing to honor well-established traditions and limits', 'Behaving inappropriately']",,
1,The Magician,1,Major Arcana,Trump,m01.jpg,"['A powerful man may play a role in your day', 'Your current situation must be seen as one element of a much larger plan']","['capability', 'empowerment', 'activity']",The Ego/The Self,Beth/House/2,"1 (origins, unity, seeds)",The Sun/Mercury,"Thoth, the Egyptian god of wisdom, known to the Greeks as Hermes and to the Romans as Mercury. Christ working miracles. Brahma, the Creator.","['What am I empowered to do?', 'How might my abilities come into play?', 'To what extent am I making the most of my talents?']","['Taking appropriate action', 'Receiving guidance from a higher power', 'Becoming a channel of divine will', 'Expressing masculine energy in appropriate and constructive ways', 'Being yourself in every way']","['Inflating your own ego', 'Abusing talents', 'Manipulating or deceiving others', 'Being too aggressive', 'Using cheap illusions to dazzle others', 'Refusing to invest the time and effort needed to master your craft', 'Taking shortcuts']",,
2,The High Priestess,2,Major Arcana,Trump,m02.jpg,"['A mysterious woman arrives', 'A sexual secret may surface', 'Someone knows more than he or she will reveal']","['intuition', 'reflection', 'purity', 'initiation']",The Virgin/The Maiden,Gimel/Camel/3,"2 (division, debate, duality)",The Moon,"The feminine aspect of divinity, particularity when expressed through virginity, as with the Virgin Mary or Isis.","['What might a rebel against tradition do?', ""What isn't being said or revealed?"", 'What could be achieved by observing and reflecting?']","['Listening to your feelings and intuitions', 'Exploring unconventional spirituality', 'Keeping secrets', 'Being receptive', 'Reflecting instead of acting', 'Observing others', 'Preserving purity']","['Being aloof', 'Obsessing on secrets and conspiracies', 'Rejecting guidance from spirit or intuition', 'Revealing all', 'Ignoring gut feelings', 'Refusing to become involved, even when involvement is appropriate']",,
3,The Empress,3,Major Arcana,Trump,m03.jpg,"['Pregnancy is in the cards', 'An opportunity to be involved in luxurious sexuality is coming', 'Beware a tendency toward addiction']","['fertility', 'productivity', 'ripeness', 'nurturing']",The Mother,Daleth/Door/4,"3 (expression, productivity, output)",Venus,"Gaia, Mother Earth, Ishtar, DemeterÑmature, reproductive female divinity in every form. Also Aphrodite and Turan. ","['What would a concerned and capable mother do?', 'What can I do that would emphasize growth?', 'How can I celebrate my own sensuality and sexuality?']","['Nurturing yourself and others', 'Bearing fruit', 'Celebrating your body', 'Bearing (literal or figurative) children', 'Reveling in luxury', 'Mothering those around you in positive ways', 'Enjoying your sexuality', 'Getting things done']","['Overindulging', 'Being greedy', 'Smothering someone with attention', 'Debilitating someone by being overprotective', 'Inhibiting productivity by obsessing on productivity', 'Being overcome by addictive behavior']",,
4,The Emperor,4,Major Arcana,Trump,m04.jpg,"['A father figure arrives', 'A new employer or authority figure will give you orders', 'Expect discipline or correction in the near future']","['authority', 'regulation', 'direction', 'structure']",The Father,"He[as]/Window/5, or in some decks, Tzaddi/Fish hook/90","4 (stability, equality, persistence)",Mars/Aries,"Masculine gods, including the Hebrew God, the Christian God, Allah, and Zeus. Patriarchs (Abraham) and lawgivers (Moses). Vishnu, the Preserver.","['How does the issue of control or regulation impact this situation?', 'What would a compassionate but strict father do?', 'What needs more control?']","['Exercising authority', 'Defining limits', 'Directing the flow of work', 'Communicating clear guidelines', 'Being in control of yourself and others', 'Tempering aggressive masculinity with wisdom and experience']","['Micromanaging', 'Crushing the creativity of others with a rigid, iron-fisted approach', 'Insisting on getting your own way', 'Assuming a dictatorial mindset', 'Using overt force to achieve your goals and maintain order']",,
5,The Hierophant,5,Major Arcana,Trump,m05.jpg,"['Expect to be caught in a misdeed and punished accordingly', 'Pray for forgiveness and confess wrongdoings', 'A more experienced man, spiritual leader, or father figure will come into your life']","['guidance', 'knowledge', 'revelation', 'belief']",The Guardian/The Church/Faith,Vau/Nail or Spike/6,"5 (instability, resistance, confrontation, evolution)",Taurus/Earth,"The Christ, the Apostle Peter, Buddha, Mohammed. Popes, priests, and intercessors of every faith and tradition","['What role might tradition or religion play in this situation?', 'Who authored the rules? Who enforces them? Why?', 'How might an experienced guide impact this situation?']","['Teaching or guiding others', 'Searching for the truth', 'Asking for guidance from a higher power', 'Acknowledging the wisdom and experience of others', 'Taking vows', 'Engaging in heartfelt rituals', 'Volunteering']","['Using experience as a means of manipulating or misguiding others', 'Being dogmatic', 'Favoring tradition over what is expedient or necessary', 'Going through the motions of empty rituals', 'Concealing wisdom', 'Restricting access to spiritual truths or the gods']",,
6,The Lovers,6,Major Arcana,Trump,m06.jpg,"['A new personal or professional relationship blossoms', 'Sexual opportunities abound', 'Unexpectedly, a friend becomes a lover']","['love', 'passion', 'unity', 'choice']",The Lover/Sexual Awakening,Zain/Sword/7,"6 (cooperation, collaboration, interaction)",Gemini,"Obviously, Adam and Eve, who are depicted in RWS-influenced decks. Also Venus and Cupid, Aphrodite and Eros.","['What guides my choices?', 'What is my heart leading me to do?', 'How might this decision transform me as a person?']","['Being in love', 'Showing your love to others', 'Expressing passion or romantic feelings', 'Aligning yourself with groups or like-minded others', 'Bringing people together', 'Making well-informed decisions']","['Debilitating passion', 'Allowing an unhealthy desire for love to motivate destructive behavior', 'Disrupting unity', 'Working against the best interests of those who care about you', 'Ill-informed decisions']",,
7,The Chariot,7,Major Arcana,Trump,m07.jpg,"['Victory is a certainty', 'Move ahead with all plans', 'Beware the jealousy of others']","['advancement', 'victory', 'triumph', 'success']",The Victorious Hero,Cheth/Fence/8,"7 (imagination, inner work, psychology)",Cancer,Odysseus. Jason. The search for the Holy Grail. Christ's triumphal entry into Jerusalem.,"['To what extent have I arrived? What will my next challenge be?', 'How can I use past achievements to their best advantage?', 'What would the criteria for real and meaningful success be?']","['Breaking through barriers', 'Moving forward with confidence and authority', 'Reaching the pinnacle of success', 'Basking in the glory of achievement', 'Guiding an effort to total victory', 'Establishing yourself as a worthy leader']","['Resting on laurels', 'Riding roughshod over the feelings or expectations of others', 'Focusing more on past successes than future opportunities', 'Failing to rein in impulsive behavior']",,
8,Strength,8,Major Arcana,Trump,m08.jpg,"['Your self-control will be tested', 'A woman will seek to change her partner or lover', 'You are a strong, capable person']","['discipline', 'boldness', 'self-discipline', 'power', 'vitality']",The Law,Lamed/Outstretched Arms/30 or Theth/Snake/9,"8 (movement, work) or 11 = 1 + 1 = 2 (debate, duality)",Libra or Leo,Themis or Justitia. Ma'at. Solomon dividing a baby. The Sword of Damocles. The giving of the Ten Commandments.,"['To what extent is your life (or work) balanced?', 'How can you achieve greater objectivity?', 'What course of action would be fair to everyone concerned?']","['Imposing restrictions on yourself for your own benefit', 'Bringing your passions under the control of reason', 'Resisting impulses that work against your best interests', 'Taking bold action']","['Indulging weakness, even when you know it will damage your health and happiness', 'Languishing in addiction', 'Allowing your instincts to tame and conquer you', 'Failing to take a stand when necessary']",,
9,The Hermit,9,Major Arcana,Trump,m09.jpg,"['A period of loneliness begins', 'One partner in a relationship departs', 'A search for love or money proves fruitless']","['solitude', 'experience', 'stillness', 'withdrawal']",The Holy Man,Yod/Hand/10,"9 (fullness, readiness, ripeness)",Virgo,"The Christ, while fasting 40 days in the wilderness. Chronos, the god of time. Father Time. Hermes.","['What would happen if I simply withdrew and took no action?', 'How can I get some perspective on the situation?', 'Who has walked this path before me? How can I enlist his or her help?']","['Becoming or seeking out a guru', 'Going on a retreat', 'Recharging spiritual or creative batteries', 'Lighting the way for those with less experience', 'Stepping back to gain perspective']","['Being a loner', 'Fearing contact with others', 'Becoming a know-it-all', 'Inflating claims of expertise', 'Hiding your skills and talents out of fear of unworthiness']",,
10,Wheel of Fortune,10,Major Arcana,Trump,m10.jpg,"['Some events are in the hands of heaven', ""You've lived through this before"", 'What happened then?']","['luck', 'randomness', 'cycles', 'karma', 'fate', 'revolution']",The Fates/Destiny,Koph/Palm/20,"10 (finality, completion) and 10 = 1 + 0 = 1 (seed, opportunity)",Jupiter,"The God in the Machine. Deus ex Machina. Clotho, Lachesis, and Atropos. Fortuna.","['How does this challenge fit into a larger pattern?', 'What role does luck play in my circumstances?', 'What can I control? How should I know when to relinquish control?']","['Allowing events to unfold', 'Seeing the larger pattern in everyday events', 'Trusting your luck', 'Watching for cycles', 'Believing that ""what goes around, comes around""']","['Losing money gambling', 'Refusing to do your part to bring a plan to fruition', 'Taking a fatalistic approach to life', 'Fighting the natural course of events']",,
11,Justice,11,Major Arcana,Trump,m11.jpg,"['A legal verdict will be rendered soon', 'Someone is making a decision', 'You need to get the facts']","['balance', 'law', 'fairness', 'objectivity']",The Id,Theth/Snake/9 or Lamed/Outstretched Arms/30,"11 = 1 + 1 = 2 (debate, duality) or 8 (movement, outer work)",Leo or Libra,Samson. Hercules. Daniel in the lion's den. The sinless Christ.,"['How can I enhance my self-discipline?', 'What behaviors tempt me? How can I resist?', 'What instincts do I continue to struggle with today?']","['Making an objective decision', 'Weighing an issue carefully before taking action', 'Appropriately scaling your reaction to a situation', 'Getting all the facts', 'Considering evidence', 'Deliberating']","['Delivering harsh criticism', 'Obsessing on rules and regulations', 'Playing by the book even when it is destructive or counterproductive to do so', 'Confusing snap decisions with timely action', 'Playing favorites']",,
12,The Hanged Man,12,Major Arcana,Trump,m12.jpg,"['A traitor is revealed', 'One of your friends is working against you', 'Change your ways or suffer the consequences']","['enlightenment', 'sacrifice', 'perspective', 'suspension', 'reversals']",The Traitor,Mem/Water/40,"12 = 1 + 2 = 3 (expression, productivity, output)",Water,The Crucified Christ. Isaac as a sacrifice. Prometheus bound. Jonah and the whale. Lazarus. Any hanged or sacrificed god. Judas.,"['How can I radically alter my perspective?', 'How might being stuck actually be a blessing in disguise?', 'How can I help myself see the glass as half full?']","['Seeing growth opportunities in unpleasant events', 'Experiencing a dramatic change in personal perspective', 'Making the best of an unforeseen change in your life or work', 'Suspending disbelief', 'Making sacrifices']","['Being untrue to yourself and your values', 'Refusing to make sacrifices when appropriate', 'Refusing to adapt to new situations', 'Blaming others', 'Profiting at the expense of others']",,
13,Death,13,Major Arcana,Trump,m13.jpg,"['A relationship or illness ends suddenly', 'Limit travel and risk-taking', 'General gloom and doom']","['ending', 'conclusion', 'transition', 'passage', 'departure']",Death,Nun/Fish/50,"13 = 1 + 3 = 4 (stability, persistence)",Scorpio,Christ in the tomb. Hades. Hypnos. Thanatos. Stories of journeys into the underworld.,"['What needs to end?', 'How might an ending actually be a blessing in this situation?', ""What's next?""]","['Bringing an unpleasant phase of life to an end', 'Recognizing and celebrating the conclusion of something', 'Putting bad habits to rest', 'Becoming a new person', 'Leaving one person, place, or thing for another', 'Letting go']","['Obsessing on death and dying', 'Refusing to give up old habits or unhealthy relationships', 'Insisting that everything and everyone should stay the same forever', 'Failing to take good care of yourself']",,
14,Temperance,14,Major Arcana,Trump,m14.jpg,"[""Someone's using drugs or alcohol to excess"", ""It's time to get back on that diet""]","['blending', 'synthesis', 'mediation', 'combination', 'harmony']",The Mediator,Samekh/Foundation/60,"14 = 1 + 4 = 5 (catalyst, instability, confrontation)",Sagittarius,"The angel seen here may be the goddess Iris. By extension, priests, priesthoods, or the transfigured Christ.","['How can I avoid extremes?', 'What does everyone involved have in common?', 'How might combining familiar things help me create something new?']","['Bringing opposites together', 'Moderating your actions or emotions', 'Finding middle ground', 'Reaching compromises', 'Synthesizing solutions that please everyone involved', 'Using the old to make something new']","['Going to extremes', 'Disrupting group efforts', 'Ignoring healthy approaches to life', 'Becoming an addict', 'Practicing gluttony', 'Tearing something or someone apart', 'Breaking alliances']",,
15,The Devil,15,Major Arcana,Trump,m15.jpg,"['Adultery and unfaithfulness', 'A string of extremely bad luck is coming your way', ""Beware evil influences and wolves in sheep's clothing""]","['shadow', 'materialism', 'bondage', 'delusion']","The Shadow, The Other",Ayin/Eye/70,"15 = 1 + 5 = 6 (adjustment, collaboration)",Capricorn,"The Biblical Satan, certainly. Fallen angels, including Lucifer. Bacchus and Pan. Tempters and serpents of every stripe.","['What enslaves me? How can I set myself free?', 'How can I re-evaluate the importance I assign to material things?', 'To what extent do my cravings define me?']","['Appreciating the luxuries that life has to offer', 'Being comfortable in your own skin', 'Enjoying your sexuality', 'Splurging on an expensive personal item', 'Embracing the fact that everyone has a darker side', 'Dealing with unhealthy impulses in healthy ways']","['Putting excessive emphasis on appearances', 'Always wanting more', 'Valuing possessions more than people or relationships', 'Allowing base instincts to govern your life', 'Being selfish', 'Attributing your own dark impulses to outside forces or other people']",,
16,The Tower,16,Major Arcana,Trump,m16.jpg,"['Impending disaster', 'Cancel plans and reverse decisions', 'Someone wants to take you down a notch or two', ""Don't hold back; say what you really mean""]","['demolition', 'upheaval', 'deconstruction', 'disaster', 'destruction']",The Shattered Ego,Pe[as]/Open Mouth/80,"16 = 1 + 6 = 7 (psychology, imagination, inner work)",Mars,The Tower of Babel. The destruction of Sodom and Gomorrah. Shiva's destructive dance. The lightning of Zeus and Thor.,"['How might the current situation dramatically alter my perspective?', 'How might this loss open the door for new growth?', 'What attitudes need to be struck down before I proceed?']","['Breaking out of old, confining habits and mindsets', 'Clearing the way for new growth', 'Dispelling the influence of an inflated ego', 'Getting back to basics', 'Stripping away harmful illusions', 'Receiving sudden insight']","['Clinging to traditions that repress growth', 'Engaging in willful blindness', 'Rejecting evidence that change is needed', 'Ignoring guidance from a higher power', 'Maliciously engaging in destructive behavior']",,
17,The Star,17,Major Arcana,Trump,m17.jpg,"['Get an astrology chart drawn up', 'Someone is a little too starstruck', ""What's happening now has long been fore-ordained""]","['hope', 'optimism', 'openness', 'certainty', 'faith', 'longing', 'truth']",The Heavenly Guide,"Tzaddi/Fishhook/90 or, in some decks, He[as]/Window/5","17 = 1 + 7 = 8 (action, movement, swiftness)",Aquarius,The star that guided the Magi. Aphrodite. Venus. The Pleiades. Moses bringing forth water from the rock.,"['What would my higher power direct me to do?', 'How can I be less self-conscious and guarded?', ""How can I better attune myself to the abundance of life's blessings?""]","['Hoping for the best', 'Believing good things happen to good people', 'Seeing events in the best possible light', 'Adopting a generous spirit', 'Seeking guidance from above', 'Embracing possibility over probability']","['Denying unpleasant truths', 'Denying personal accountability and saying, ""Things just happen!""', 'Ignoring signs and omens', 'Preferring illusion to reality', 'Spreading pessimism and stinginess of spirit']",,
18,The Moon,18,Major Arcana,Trump,m18.jpg,"['Watch for problems at the end of the month', 'Someone you know needs to howl at the moon more often', 'Someone is about to change his or her mind about an important decision']","['mystery', 'fantasy', 'imagination', 'dreams', 'uncertainty']",The Holy Feminine/The Crone,Koph/Back of the Head/100,"18 = 1 + 8 = 9 (fullness, readiness, ripeness)",Pisces,"Kali, the dark-skinned divine mother associated with time, the eternal night, and the female principle. Hecate, goddess of night and darkness, who, like Anubis, assists others in their travels to the underworld. ","['How can I face my fears and move forward?', 'What helpers can serve me as guides through my personal darkness?', 'How can I deal with the unknown in healthy ways?']","['Enjoying healthy fantasies and daydreams', 'Using your imagination', 'Practicing magic or celebrating the magic of everyday life', 'Attuning yourself to the cycles of nature', 'Embracing the unknown']","['Becoming unable to separate fantasy from reality', 'Suffering from delusions', 'Losing your appreciation for the fantastic or magical', 'Adopting a ruthlessly logical mindset', ""Failing to appreciate life's mysteries""]",,
19,The Sun,19,Major Arcana,Trump,m19.jpg,"[""Everything's coming up roses (or sunflowers, whatever the case may be)"", ""Whatever's on your mind, go for it because you can't lose today""]","['joy', 'brilliance', 'validation', 'attention', 'energy']",The Holy Masculine,Resh/Head/200,"19 = 1 + 9 = 10 (completion, exhaustion) 1 + 0 = 1 (starting point, opportunity)",The Sun,"God the Father. Sun gods, including Ra, Apollo, and Helios. The moment of baptism. Claiming a new faith as your own.","['How can I take best advantage of the attention coming my way?', 'What are my highest spiritual goals?', 'How can I avoid being bedazzled by the energy swirling around me?']","['Seeing things clearly', 'Experiencing intense joy', 'Celebrating your own successes', ""Knowing you're good at what you do"", 'Gaining recognition for your personal genius']","['Being dazzled by your own accomplishments', 'Becoming absorbed in your own self-image', 'Feeling rushed and distracted', 'Exerting yourself to the point of exhaustion', 'Overstating your abilities or misrepresenting your achievements']",,
20,Judgement,20,Major Arcana,Trump,m20.jpg,"['An old issue you thought was over will come up again today', 'Get ready for huge changes: break-ups, sudden calls from old friends, and unexpected setbacks', ""God's trying to get your attention""]","['revival', 'renewal', 'resurrection', 'evaluation', 'invitation']",Resurrection,Sin/Tooth/300,"20 = 2 + 0 = 2 (division, duality)",Fire,"The resurrected Christ. The Last Judgment of Revelation. The phoenix, which rises to new life from its own ashes.","['What is the main thing I need to realize about myself?', 'In what way might the universe be trying to get my attention?', 'If I were to reinvent myself, what would I become?']","['Receiving a wake-up call', 'Discovering a new purpose in life', 'Becoming totally and completely yourself', 'Receiving a well-deserved reward', 'Passing an evaluation or examination', 'Welcoming the start of a new phase of life']","['Being weighed in the balances and found wanting', 'Failing to measure up to a well-defined standard', 'Being caught goofing off or misbehaving', 'Failing to prepare for an examination you know is coming', 'Rejecting an opportunity to reinvent yourself']",,
21,The World,21,Major Arcana,Trump,m21.jpg,"['Winning the lottery', ""Getting your heart's desire"", 'Having everything you ever imagined having']","['wholeness', 'integration', 'totality', 'completeness', 'fullness']",Enlightenment,Tau/Cross/400,"21 = 2 + 1 = 3 (expression, result)",Saturn,The ascended Christ. The Buddha attaining enlightenment. The alpha and the omega. The completion of the alchemist's great work.,"['For me, what would having it all mean?', 'How aware am I of my own connectedness to the world around me?', 'What keeps me from having it all right now, today?']","['Having it all', 'Knowing and loving yourself as completely as possible', 'Seeing the interconnection of all things and people', 'Enhancing your perspective', 'Living life to its fullest', 'Understanding the meaning of life']","['Allowing greed and envy to prevent you from enjoying what you do possess', 'Failing to see the larger design in ordinary events', 'Believing that everything that exists can be touched, counted, or measured', 'Failing to see the divine reflected in those around you']",,
